server,eval_csv,run_dir,env,domain,task,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,drop_from_best,success_peak_after_500k,peak_step_after_500k,trajectory,mtime
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_074749/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_074749,visual-antmaze-teleport-navigate-singletask-task5-v0,visual-antmaze-teleport-navigate,task5,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0,-1000,1000,0.2,650000,-0.2,0.2,650000,0:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0 -> 500k:0.1 -> 600k:0 -> 700k:0 -> 800k:0 -> 900k:0.1 -> 1M:0,2026-06-11T12:07:51
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000000/sd002_20260611_074749/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000000/sd002_20260611_074749,visual-cube-double-play-singletask-task1-v0,visual-cube-double-play,task1,A1_action_std_lam0p001,2,1000000,1000000,COMPLETED,0.1,-508.9,474.6,0.3,700000,-0.2,0.3,700000,0:0 -> 100k:0 -> 200k:0 -> 300k:0.2 -> 400k:0.2 -> 500k:0 -> 600k:0.2 -> 700k:0.3 -> 800k:0.2 -> 900k:0.2 -> 1M:0.1,2026-06-11T11:50:16
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804,visual-cube-double-play-singletask-task2-v0,visual-cube-double-play,task2,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0,-979.1,500,0,1,0,0,500000,0:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0 -> 500k:0 -> 600k:0 -> 700k:0 -> 800k:0 -> 900k:0 -> 1M:0,2026-06-11T16:26:50
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804,visual-cube-double-play-singletask-task3-v0,visual-cube-double-play,task3,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.1,-876.3,495.1,0.1,300000,0,0.1,900000,0:0 -> 100k:0 -> 200k:0 -> 300k:0.1 -> 400k:0 -> 500k:0 -> 600k:0 -> 700k:0 -> 800k:0 -> 900k:0.1 -> 1M:0.1,2026-06-11T16:23:16
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162716/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162716,visual-cube-double-play-singletask-task4-v0,visual-cube-double-play,task4,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0,-981.4,500,0,1,0,0,500000,0:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0 -> 500k:0 -> 600k:0 -> 700k:0 -> 800k:0 -> 900k:0 -> 1M:0,2026-06-11T20:46:07
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162718/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162718,visual-cube-double-play-singletask-task5-v0,visual-cube-double-play,task5,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0,-998.7,500,0.3,650000,-0.3,0.3,650000,0:0 -> 100k:0 -> 200k:0 -> 300k:0.2 -> 400k:0 -> 500k:0 -> 600k:0 -> 700k:0 -> 800k:0 -> 900k:0 -> 1M:0,2026-06-11T20:40:22
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260611_205229/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260611_205229,visual-antmaze-medium-navigate-singletask-task1-v0,visual-antmaze-medium-navigate,task1,R2_flow_residual_disagree_std_lam0p001,2,1000000,200000,PARTIAL_OR_INTERRUPTED,0.8,-619.98,620.78,0.8,200000,0,,,0:0 -> 100k:0.58 -> 200k:0.8,2026-06-12T02:09:42
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260612_092355/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260612_092355,visual-antmaze-medium-navigate-singletask-task1-v0,visual-antmaze-medium-navigate,task1,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.2,-940.48,940.68,0.78,200000,-0.58,0.5,500000,0:0 -> 100k:0.74 -> 200k:0.78 -> 300k:0.68 -> 400k:0.54 -> 500k:0.5 -> 600k:0.24 -> 700k:0.3 -> 800k:0.16 -> 900k:0.24 -> 1M:0.2,2026-06-13T11:57:18
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260611_205229/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260611_205229,visual-antmaze-medium-navigate-singletask-task2-v0,visual-antmaze-medium-navigate,task2,R2_flow_residual_disagree_std_lam0p001,2,1000000,200000,PARTIAL_OR_INTERRUPTED,0.48,-816.68,817.16,0.48,200000,0,,,0:0 -> 100k:0.22 -> 200k:0.48,2026-06-12T02:03:52
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260612_092355/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260612_092355,visual-antmaze-medium-navigate-singletask-task2-v0,visual-antmaze-medium-navigate,task2,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.02,-991.98,992,0.82,200000,-0.8,0.24,700000,0:0 -> 100k:0.48 -> 200k:0.82 -> 300k:0.6 -> 400k:0.22 -> 500k:0.2 -> 600k:0.18 -> 700k:0.24 -> 800k:0.18 -> 900k:0.06 -> 1M:0.02,2026-06-13T11:17:52
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260613_115731/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260613_115731,visual-antmaze-medium-navigate-singletask-task3-v0,visual-antmaze-medium-navigate,task3,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.32,-837.64,837.96,0.8,100000,-0.48,0.58,500000,0:0 -> 100k:0.8 -> 200k:0.76 -> 300k:0.6 -> 400k:0.52 -> 500k:0.58 -> 600k:0.56 -> 700k:0.52 -> 800k:0.36 -> 900k:0.46 -> 1M:0.32,2026-06-14T14:30:02
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260613_115731/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260613_115731,visual-antmaze-medium-navigate-singletask-task4-v0,visual-antmaze-medium-navigate,task4,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.4,-883.84,884.24,0.86,100000,-0.46,0.4,1000000,0:0 -> 100k:0.86 -> 200k:0.84 -> 300k:0.66 -> 400k:0.36 -> 500k:0.38 -> 600k:0.22 -> 700k:0.3 -> 800k:0.22 -> 900k:0.22 -> 1M:0.4,2026-06-14T13:53:50
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260614_143015/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260614_143015,visual-antmaze-medium-navigate-singletask-task5-v0,visual-antmaze-medium-navigate,task5,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.12,-933.32,933.44,0.7,300000,-0.58,0.3,600000,0:0 -> 100k:0.26 -> 200k:0.4 -> 300k:0.7 -> 400k:0.46 -> 500k:0.2 -> 600k:0.3 -> 700k:0.12 -> 800k:0.18 -> 900k:0.22 -> 1M:0.12,2026-06-15T17:01:19
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260614_143015/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260614_143015,visual-antmaze-teleport-navigate-singletask-task1-v0,visual-antmaze-teleport-navigate,task1,A1_action_std_lam0p001,2,1000000,1000000,COMPLETED,0.06,-969.34,969.4,0.16,200000,-0.1,0.06,1000000,0:0 -> 100k:0.1 -> 200k:0.16 -> 300k:0.06 -> 400k:0.1 -> 500k:0.04 -> 600k:0.04 -> 700k:0.04 -> 800k:0 -> 900k:0 -> 1M:0.06,2026-06-15T15:35:12
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260615_170130/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260615_170130,visual-antmaze-teleport-navigate-singletask-task2-v0,visual-antmaze-teleport-navigate,task2,A1_action_std_lam0p001,2,1000000,400000,PARTIAL_OR_INTERRUPTED,0.14,-935.82,935.96,0.14,400000,0,,,0:0 -> 100k:0.08 -> 200k:0.08 -> 300k:0.12 -> 400k:0.14,2026-06-16T03:19:50
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260615_170130/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_matched_4090d_v7/exp/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/domain_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_1m_paper_like_b256_s16_f10/sd002_20260615_170130,visual-antmaze-teleport-navigate-singletask-task3-v0,visual-antmaze-teleport-navigate,task3,A1_action_std_lam0p001,2,1000000,400000,PARTIAL_OR_INTERRUPTED,0.3,-789.4,789.7,0.32,100000,-0.02,,,0:0 -> 100k:0.32 -> 200k:0.28 -> 300k:0.32 -> 400k:0.3,2026-06-16T03:03:58
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402,cube-double-play-singletask-task2-v0,cube-double,task2,A1_action_std_lam0p001,5,300000,300000,COMPLETED,0.1,-919.2,464.2,0.2,250000,-0.1,,,0:0 -> 100k:0 -> 200k:0.1 -> 300k:0.1,2026-06-04T16:25:04
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_scene-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_scene-play-singletask-task2-v0_seed2/sd002_20260604_162537/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/A1_action_std_lam0p001_scene-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_A1_action_std_lam0p001_scene-play-singletask-task2-v0_seed2/sd002_20260604_162537,scene-play-singletask-task2-v0,scene,task2,A1_action_std_lam0p001,5,300000,300000,COMPLETED,1,-396,215.1,1,150000,0,,,0:0 -> 100k:0.9 -> 200k:0.9 -> 300k:1,2026-06-04T17:45:57
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_150402,cube-double-play-singletask-task2-v0,cube-double,task2,R2_flow_residual_disagree_std_lam0p001,5,300000,300000,COMPLETED,0.6,-482.6,291.7,0.6,300000,0,,,0:0 -> 100k:0 -> 200k:0 -> 300k:0.6,2026-06-04T16:23:02
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_scene-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_scene-play-singletask-task2-v0_seed2/sd002_20260604_174311/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R2_flow_residual_disagree_std_lam0p001_scene-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R2_flow_residual_disagree_std_lam0p001_scene-play-singletask-task2-v0_seed2/sd002_20260604_174311,scene-play-singletask-task2-v0,scene,task2,R2_flow_residual_disagree_std_lam0p001,5,300000,300000,COMPLETED,1,-520,270.4,1,100000,0,,,0:0 -> 100k:1 -> 200k:0.9 -> 300k:1,2026-06-04T19:02:03
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_162336/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_cube-double-play-singletask-task2-v0_seed2/sd002_20260604_162336,cube-double-play-singletask-task2-v0,cube-double,task2,R3_flow_residual_disagree_typicality_std_lam0p001,5,300000,300000,COMPLETED,0.4,-641.5,362.2,0.4,300000,0,,,0:0 -> 100k:0.1 -> 200k:0 -> 300k:0.4,2026-06-04T17:42:41
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_scene-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_scene-play-singletask-task2-v0_seed2/sd002_20260604_174612/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d/queueB_screen_300k/R3_flow_residual_disagree_typicality_std_lam0p001_scene-play-singletask-task2-v0_seed2_300000/bestseed_5task_queueB_screen_300k_R3_flow_residual_disagree_typicality_std_lam0p001_scene-play-singletask-task2-v0_seed2/sd002_20260604_174612,scene-play-singletask-task2-v0,scene,task2,R3_flow_residual_disagree_typicality_std_lam0p001,5,300000,300000,COMPLETED,1,-396.3,218.7,1,100000,0,,,0:0 -> 100k:1 -> 200k:1 -> 300k:1,2026-06-04T19:06:56
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueA_cube_triple_5task_1m/R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task1-v0_seed2_1000000/bestseed_5task_v2_queueA_cube_triple_5task_1m_R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task1-v0_seed2/sd002_20260604_202549/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueA_cube_triple_5task_1m/R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task1-v0_seed2_1000000/bestseed_5task_v2_queueA_cube_triple_5task_1m_R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task1-v0_seed2/sd002_20260604_202549,cube-triple-play-singletask-task1-v0,cube-triple,task1,R2_flow_residual_disagree_std_lam0p001,5,1000000,1000000,COMPLETED,0.7,-574,574.7,0.9,900000,-0.2,0.9,900000,0:0 -> 100k:0 -> 200k:0.2 -> 300k:0.3 -> 400k:0.2 -> 500k:0.6 -> 600k:0.5 -> 700k:0.6 -> 800k:0.8 -> 900k:0.9 -> 1M:0.7,2026-06-05T00:57:37
4090d,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueA_cube_triple_5task_1m/R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task2-v0_seed2_1000000/bestseed_5task_v2_queueA_cube_triple_5task_1m_R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task2-v0_seed2/sd002_20260604_202548/eval.csv,/root/sb-value-flows/exp/bestseed_5task_push_4090d_v2/queueA_cube_triple_5task_1m/R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task2-v0_seed2_1000000/bestseed_5task_v2_queueA_cube_triple_5task_1m_R2_flow_residual_disagree_std_lam0p001_cube-triple-play-singletask-task2-v0_seed2/sd002_20260604_202548,cube-triple-play-singletask-task1-v0,cube-triple,task1,R2_flow_residual_disagree_std_lam0p001,5,1000000,1000000,COMPLETED,0,-3000,1000,0,1,0,0,500000,0:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0 -> 500k:0 -> 600k:0 -> 700k:0 -> 800k:0 -> 900k:0 -> 1M:0,2026-06-05T00:54:05
